Timestamp,S.aureus,S.cerevisiae,E.coli,Total
2025-02-12 14:57:22,9,7,7,23
Timestamp,S.aureus,S.cerevisiae,E.coli,Total
2025-02-12 14:57:36,3,3,6,12
Timestamp,S.aureus,S.cerevisiae,E.coli,Total
2025-02-12 14:58:07,1,3,15,19
Timestamp,S.aureus,S.cerevisiae,E.coli,Total
2025-02-12 14:58:43,0,41,0,41
Timestamp,S.aureus,S.cerevisiae,E.coli,Total
2025-02-12 14:58:47,0,12,0,12
Timestamp,S.aureus,S.cerevisiae,E.coli,Total
2025-02-12 15:00:31,0,41,0,41
Timestamp,S.aureus,S.cerevisiae,E.coli,Total
2025-02-12 15:00:41,2,8,0,10
Timestamp,S.aureus,S.cerevisiae,E.coli,Total
2025-02-12 15:00:52,6,2,0,8
Timestamp,S.aureus,S.cerevisiae,E.coli,Total
2025-02-12 15:01:12,0,69,0,69
Timestamp,S.aureus,S.cerevisiae,E.coli,Total
2025-02-12 15:01:29,0,104,0,104
Timestamp,S.aureus,S.cerevisiae,E.coli,Total
2025-02-12 15:01:53,0,120,0,120
Timestamp,S.aureus,S.cerevisiae,E.coli,Total
2025-02-12 15:03:01,0,89,0,89
Timestamp,S.aureus,S.cerevisiae,E.coli,Total
2025-02-12 15:03:09,10,0,0,10
Timestamp,S.aureus,S.cerevisiae,E.coli,Total
2025-02-12 15:03:24,10,0,0,10
Timestamp,S.aureus,S.cerevisiae,E.coli,Total
2025-02-12 15:03:32,2,0,2,4
Timestamp,S.aureus,S.cerevisiae,E.coli,Total
2025-02-12 15:03:54,0,0,8,8
Timestamp,S.aureus,S.cerevisiae,E.coli,Total
2025-02-12 15:04:07,0,17,20,37
Timestamp,S.aureus,S.cerevisiae,E.coli,Total
2025-02-12 15:04:16,0,0,10,10
Timestamp,S.aureus,S.cerevisiae,E.coli,Total
2025-02-12 15:04:36,10,0,0,10
Timestamp,S.aureus,S.cerevisiae,E.coli,Total
2025-02-12 15:04:52,10,0,0,10
Timestamp,S.aureus,S.cerevisiae,E.coli,Total
2025-02-12 15:05:02,0,19,7,26
Timestamp,S.aureus,S.cerevisiae,E.coli,Total
2025-02-12 15:05:08,0,5,9,14
